As World War I broke out. ||| As ||| As World War I broke out, his company received large government contracts for use of the material.
That perhaps 2,000 Normans and 4,000 Englishmen were killed at Hastings. ||| that ||| Marren speculates that perhaps 2,000 Normans and 4,000 Englishmen were killed at Hastings.
After a winter of practice. ||| After ||| After a winter of practice, Hobbs displayed greater consistency in 1906.
When their financial situation was poor. ||| when ||| MacLaren and his family lived for a time on Robinson's estate when their financial situation was poor.
As a Category 2 hurricane. ||| as ||| By September 25, Georges entered the Gulf of Mexico as a Category 2 hurricane.
As a comic piano sketch entertainer in provincial institutes and literary societies. ||| as ||| By 1877 the younger George Grossmith had established himself as a comic piano sketch entertainer in provincial institutes and literary societies.
As respecting the courage of the four submariners, regardless of their origin. ||| as ||| Muirhead-Gould was criticised for this, but defended his actions as respecting the courage of the four submariners, regardless of their origin.
That the current rate does not change, the island will be mostly at or below sea level by 2100. ||| that ||| Assuming that the current rate does not change, the island will be mostly at or below sea level by 2100.
As Behler's drum technician. ||| as ||| During the tour, Mustaine noticed problems developing with Behler and brought in drummer Nick Menza as Behler's drum technician.
As renowned for his attempts to escape from prison as he was for his crimes. ||| as ||| Sheppard was as renowned for his attempts to escape from prison as he was for his crimes.
Until May that it met. ||| until ||| Rutherford's government appointed a commission in February, but it was not until May that it met.
That year. ||| that ||| In the early months of 1919, Robey completed a book of memoirs, My Rest Cure, which was published later that year.
As a professional musician. ||| as ||| This event launched his career as a professional musician.
That Scott might require during this period. ||| that ||| Morning would provide any assistance that Scott might require during this period.
That the candidate receiving the fewest votes on the next ballot would be dropped from the voting. ||| that ||| Finally, the convention chairman announced that the candidate receiving the fewest votes on the next ballot would be dropped from the voting.
Where he died on 28 January as a result of an intestinal haemorrhage. ||| where ||| Treloar was subsequently admitted to the Canberra Community Hospital where he died on 28 January as a result of an intestinal haemorrhage.
Since 1894, retired. ||| since ||| At the end of 1906, Woods, who had captained Somerset since 1894, retired.
That penetrates the sea depends on the angle of the sun, the local weather, and the sea's turbidity. ||| that ||| The amount of light that penetrates the sea depends on the angle of the sun, the local weather, and the sea's turbidity.
As well as attendance to these institutions. ||| as ||| Schools and Anganwadi Centers have been specifically targeted to improve drinking water supply as well as attendance to these institutions.
As an endangered species in 1970 and was reclassified as threatened in 1975. ||| as ||| It was listed under federal law as an endangered species in 1970 and was reclassified as threatened in 1975.
Until December 6, 1899. ||| until ||| News of this arrangement did not reach Tilley and the islands until December 6, 1899.
As those preached by the national leaders of the Party of Order, meant little or nothing. ||| as ||| To them, political principles, such as those preached by the national leaders of the Party of Order, meant little or nothing.
When you are two pence short of a tin of baked beans. ||| When ||| When you are two pence short of a tin of baked beans, and your child is hungry, it is the money.
After football. ||| after ||| Receiving heavy sponsorship from the government, ice hockey is the nation's second most popular sport after football.
When the M5 motorway was constructed in the mid-1970s. ||| when ||| Its derelict, early 20th century remains, was removed when the M5 motorway was constructed in the mid-1970s.
Although his arrival was eagerly anticipated. ||| Although ||| Although his arrival was eagerly anticipated, Hobbs never reached the expected heights, averaging 36.63 throughout the 1915 season.
Once again becoming a villain for the first time since 2004. ||| once ||| This led to Benjamin once again becoming a villain for the first time since 2004.
As he attempted to find ways to support his cricket, family and lifestyle. ||| as ||| MacLaren had many jobs as he attempted to find ways to support his cricket, family and lifestyle.
Since 1996. ||| since ||| Offensive guard Jason Spitz was selected 75th overall and was the first Cardinals' offensive lineman to be drafted since 1996.
Since 1854. ||| since ||| This was the first reported volcanic activity since 1854.
When taking this pathway. ||| when ||| There is the beauty and beast effect when taking this pathway.
Though its offense performed well. ||| Though ||| Though its offense performed well, it was Virginia Tech's special teams and defense that earned it the win.
